type,sub_type,listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built
single_family,NA,299000.0,864.0,1.0,2.0,1.0,1.0,1.0,0.0,1939.0
land,NA,144000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condos,condo,2199000.0,2052.0,1.0,2.0,3.0,2.0,2.0,2.0,2005.0
land,NA,70000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
land,NA,28000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_family,NA,1088888.0,1540.0,1.0,3.0,2.0,2.0,2.0,2.0,1973.0
single_family,NA,295000.0,1560.0,1.0,4.0,2.0,2.0,2.0,2.0,2006.0
mobile,NA,75000.0,480.0,1.0,1.0,1.0,1.0,1.0,2.0,1978.0
single_family,NA,460000.0,1157.0,1.0,4.0,2.0,2.0,2.0,2.0,1974.0
single_family,NA,380000.0,1030.0,1.0,2.0,1.0,1.0,1.0,2.0,1957.0
single_family,NA,1349000.0,2812.0,1.0,4.0,3.0,3.0,3.0,4.0,1997.0
single_family,NA,850000.0,2696.0,2.0,3.0,2.0,2.0,2.0,2.0,2007.0
single_family,NA,1350000.0,1848.0,1.0,5.0,2.0,2.0,2.0,2.0,1962.0
single_family,NA,859888.0,2401.0,1.0,4.0,3.0,2.0,2.0,3.0,1999.0
single_family,NA,469999.0,1878.0,1.0,3.0,2.0,2.0,2.0,2.0,1980.0
single_family,NA,563900.0,1490.0,2.0,3.0,3.0,2.0,2.0,2.0,1987.0
condos,condo,549000.0,630.0,1.0,1.0,1.0,1.0,1.0,1.0,1980.0
single_family,NA,850000.0,1942.0,1.0,4.0,2.0,2.0,2.0,4.0,1978.0
single_family,NA,818000.0,2920.0,2.0,4.0,4.0,3.0,3.0,2.0,2004.0
single_family,NA,835000.0,2162.0,1.0,2.0,2.0,2.0,2.0,3.0,2004.0
single_family,NA,350000.0,1683.0,1.0,2.0,2.0,2.0,2.0,2.0,2002.0
single_family,NA,539900.0,2468.0,1.0,4.0,3.0,3.0,3.0,3.0,2018.0
mobile,NA,209900.0,1120.0,1.0,4.0,2.0,2.0,2.0,2.0,1996.0
single_family,NA,369000.0,1025.0,1.0,2.0,1.0,1.0,1.0,0.0,1987.0
single_family,NA,385000.0,1152.0,1.0,3.0,2.0,2.0,2.0,2.0,1962.0
condos,condo,385500.0,1427.0,1.0,3.0,2.0,2.0,2.0,1.0,1973.0
mobile,NA,175000.0,1152.0,1.0,3.0,2.0,2.0,2.0,0.0,2017.0
single_family,NA,1300000.0,1684.0,1.0,4.0,2.0,2.0,2.0,2.0,1964.0
single_family,NA,1029000.0,2379.0,2.0,4.0,3.0,3.0,3.0,3.0,1990.0
single_family,NA,1999000.0,2344.0,2.0,4.0,3.0,3.0,3.0,2.0,1963.0
land,NA,10950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_family,NA,623000.0,1845.0,1.0,2.0,2.0,2.0,2.0,2.0,2004.0
single_family,NA,1050000.0,1434.0,1.0,4.0,2.0,2.0,2.0,2.0,1984.0
single_family,NA,1549900.0,2334.0,2.0,3.0,3.0,2.0,2.0,3.0,1999.0
single_family,NA,1220000.0,2616.0,2.0,4.0,4.0,3.0,3.0,3.0,1997.0
mobile,NA,199000.0,1440.0,1.0,2.0,2.0,2.0,2.0,0.0,1975.0
condos,condo,630000.0,1196.0,2.0,2.0,2.0,2.0,2.0,2.0,2024.0
single_family,NA,1639500.0,2096.0,1.0,4.0,2.0,2.0,2.0,3.0,1998.0
condos,condo,399900.0,731.0,1.0,1.0,1.0,1.0,1.0,1.0,1985.0
single_family,NA,610000.0,2298.0,2.0,4.0,3.0,2.0,2.0,2.0,2005.0
single_family,NA,750000.0,1320.0,1.0,3.0,2.0,2.0,2.0,2.0,1992.0
single_family,NA,739000.0,2472.0,3.0,3.0,3.0,3.0,3.0,5.0,1984.0
single_family,NA,2188888.0,3848.0,2.0,4.0,4.0,1.0,3.0,3.0,1988.0
townhomes,townhouse,775000.0,1585.0,2.0,3.0,3.0,2.0,2.0,2.0,1974.0
single_family,NA,925000.0,1041.0,1.0,3.0,2.0,2.0,2.0,2.0,1954.0
single_family,NA,1049000.0,1534.0,1.0,3.0,2.0,2.0,2.0,2.0,1968.0
single_family,NA,699000.0,1698.0,2.0,3.0,3.0,2.0,2.0,2.0,2000.0
single_family,NA,1790000.0,1589.0,2.0,3.0,3.0,2.0,2.0,2.0,2013.0
land,NA,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_family,NA,1373000.0,2601.0,2.0,4.0,3.0,3.0,3.0,2.0,2015.0
single_family,NA,515000.0,2286.0,2.0,3.0,3.0,2.0,2.0,2.0,1991.0
single_family,NA,299999.0,876.0,1.0,2.0,2.0,2.0,2.0,0.0,1948.0
single_family,NA,1949000.0,3842.0,3.0,5.0,4.0,4.0,4.0,3.0,1994.0
single_family,NA,3998000.0,4280.0,1.0,3.0,4.0,3.0,3.0,4.0,2000.0
single_family,NA,799000.0,1522.0,1.0,3.0,2.0,2.0,2.0,2.0,1961.0
land,NA,28800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_family,NA,2590000.0,1784.0,1.0,3.0,2.0,1.0,1.0,0.0,1925.0
single_family,NA,698000.0,792.0,1.0,2.0,1.0,1.0,1.0,0.0,1949.0
single_family,NA,1200000.0,1728.0,2.0,3.0,3.0,2.0,2.0,2.0,1973.0
condos,condo,1249000.0,1563.0,2.0,2.0,3.0,3.0,3.0,2.0,1984.0
single_family,NA,645000.0,1496.0,1.0,4.0,2.0,1.0,2.0,2.0,1969.0
condos,condo,2850000.0,2438.0,2.0,3.0,4.0,3.0,3.0,2.0,2003.0
single_family,NA,599000.0,760.0,1.0,2.0,1.0,1.0,1.0,2.0,1941.0
condos,condo,1599000.0,1652.0,1.0,2.0,2.0,2.0,2.0,2.0,2003.0
single_family,NA,599900.0,2764.0,1.0,5.0,3.0,1.0,3.0,2.0,1991.0
single_family,NA,1550000.0,3090.0,1.0,4.0,4.0,3.0,3.0,3.0,2000.0
condos,condo,525000.0,1730.0,1.0,2.0,2.0,1.0,2.0,1.0,1964.0
single_family,NA,815000.0,1494.0,1.0,4.0,2.0,2.0,2.0,2.0,1957.0
single_family,NA,865000.0,1613.0,1.0,3.0,2.0,2.0,2.0,2.0,1962.0
single_family,NA,655000.0,1975.0,1.0,3.0,2.0,2.0,2.0,2.0,2009.0
single_family,NA,799000.0,1146.0,1.0,2.0,1.0,1.0,1.0,2.0,1929.0
single_family,NA,459900.0,971.0,1.0,3.0,1.0,1.0,1.0,2.0,1969.0
single_family,NA,1299900.0,2714.0,2.0,5.0,3.0,3.0,3.0,2.0,1968.0
single_family,NA,569000.0,1540.0,1.0,4.0,2.0,2.0,2.0,2.0,1998.0
condos,condo,1499000.0,1932.0,2.0,3.0,3.0,2.0,2.0,2.0,1967.0
single_family,NA,669999.0,1614.0,1.0,4.0,2.0,2.0,2.0,2.0,2011.0
condos,condo,1195000.0,1390.0,3.0,3.0,3.0,2.0,2.0,2.0,1986.0
single_family,NA,449999.0,1200.0,1.0,3.0,2.0,2.0,2.0,2.0,1980.0
single_family,NA,2349000.0,3009.0,2.0,5.0,3.0,3.0,3.0,3.0,1992.0
condos,condo,439000.0,1180.0,1.0,2.0,2.0,2.0,2.0,2.0,1974.0
condos,condo,779000.0,1206.0,4.0,2.0,2.0,2.0,2.0,0.0,1965.0
condos,condo,839000.0,1266.0,2.0,2.0,3.0,2.0,2.0,2.0,1989.0
single_family,NA,899990.0,1195.0,1.0,3.0,2.0,2.0,2.0,2.0,1952.0
condos,condo,699999.0,1263.0,3.0,2.0,3.0,2.0,2.0,2.0,2007.0
single_family,NA,735000.0,935.0,1.0,2.0,1.0,1.0,1.0,1.0,1928.0
single_family,NA,2599000.0,3099.0,1.0,5.0,3.0,3.0,3.0,2.0,1957.0
